posada,name,id,category,incomes,assets,land,house,transport_cost
"народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я, Верховна Рада України",Богомолець Ольга Вадимівна,db2e71d7-034a-43b4-a783-372d0ca1bb52,2,8319668,26303109.78,15618,5797.25,1652230
"народний депутат України, Верховна Рада України",Балога Віктор Іванович,b7368fa6-b008-4773-8f32-f3691cf6fce8,2,338482,25867300.16,18503,353.7,585088
"Народний депутат України, Секретар Комітету, голова підкомітету з питань прав людини Комітету Верховної Ради України з питань прав людини, національних меншин і міжнаціональних відносин , Верховна Рада України",Рабінович Вадим Зіновійович,c77c58d8-0c4c-4ee4-8ad0-1b6dc656174f,2,22740634,25795923.3,25430,1700.63,2502603
"народний депутат України, Верховна Рада України",Матвієнков Сергій Анатолійович,ad9e9d73-e148-4a3a-900b-6b97e89edd68,2,994180,24576620.92,1200,351.5,0
"Народний депутат України, Верховна Рада України",Андрієвський Дмитро Йосипович,37fa91a0-25c5-4802-9c49-c3fafdc99a59,2,5783810,24465217.81,317172,1162.9,3220873
"заступник директора з комерційних питань, державне підприємство ""Державний будівельний комбінат Управління справами Апарату Верховної Ради України""",Кільницький Максим Віталійович,c16e2b8a-060e-45e0-8bec-91fc4ad65743,2,134758,23791164,21730,231.5,0
"Народний депутат України, Верховна Рада України",Шверк Григорій Аронович,513f66ee-7538-46b9-950a-ad994cd018b7,2,1579807,23570621.16,1460,153.5,1012119
"Народний депутат України, Верховна Рада України",Барвіненко Віталій Дмитрович,96954375-7076-4095-af09-4e0b9d2eac8e,2,914072,23078650.98,1400,219,3619400
"Народний депутат України, Верховна Рада України",Велікін Олег Маркович,5b7b3da1-ac43-477b-9729-8ee72fe17f53,2,675849,22827628.18,6935,586.56,1843195
"Народний депутат України, Верховна Рада України","Лук'янчук Руслан Валерійович",f1433cae-3a23-4fc8-af39-14ab9b368eb5,2,2975892,22744846.78,4700,733.3,856149
"Народний депутат України, Верховна рада України",Іщейкін Костянтин Євгенович,b2b0eefa-b87b-4edb-ad24-94252939e8d0,2,11756348,22465201.97,12803.2,1770,1482844
"Заступник Генерального прокурора - Головний військовий прокурор, Генеральна прокуратура України",Матіос Анатолій Васильович,1cf60b4d-df4b-46db-8ee6-db539ddb5733,5,72939505,93778729.15,143151,1034.2,690000
"Старший слідчий в особливо важливих справах другого слідчого відділу управління спеціальних розслідувань Департаменту спеціальних розслідувань Генеральної прокуратури України , Генеральна прокуратура України",Кривобок Юрій Васильович,a9af63b3-f419-4d45-9bd1-62dbdcce9827,5,656115,82799404.51,56698,2613.5,3730930
"прокурор відділу , Генеральна прокуратура України",Біленька Юлія Анатоліївна,492bb891-9200-47c8-89b5-92d0061ea77c,5,201308,45630237.32,0,220,0
"Заступник начальника Департаменту нагляду за додержанням законів у кримінальному провадженні та координації правоохоронної діяльності - начальник управління, Генеральна Прокуратура України",Лашук Вадим Олександрович,b5e2c32f-6a7b-4999-8b1d-4ba2cab706b0,5,1923419,17123932.2,1873,420.8,2814960
"Прокурор відділу підтримання державного обвинувачення в суді , Прокуратура Київської області",Галайба Олександра Вікторівна,e06bb092-1447-4275-a9e8-7db71595d1a6,5,541726,16673922.2,1200,117.2,0
"прокурор, Прокуратура міста Києва",Міленін Павло Олександрович,5907346a-bff9-4e7c-ae58-f48bfd62a8f0,5,4330910,14482687.07,1400.1,1331.2,3685048
"начальник другого слідчого відділу слідчого управління прокуратури Харківської області, прокуратура Харківської області",Мишков Ярослав Євгенович,1e946af4-555f-4f9d-9de2-c1a7a13528ba,5,948936,13791596.37,584,155.7,361088
"Генеральний прокурор України, Генеральна прокуратура України",Луценко Юрій Віталійович,0044b835-8b79-426a-91ca-ac57c42c885a,5,5746913,13384684.93,3250,1416.1,3180000
"військовий прокурор Центрального регіону України, Військова прокуратура Центрального регіону України",Рябенко Григорій Миколайович,7a0393f9-538d-473c-b10d-7198b71cf500,5,1504506,13286979.63,0,271.1,276616
"прокурор Київської місцевої прокуратури №8, Прокуратура міста Києва",Задорожна Анна Володимирівна,6d6c4a00-731b-406c-bf9b-50c997043270,5,931047,12839816.96,435,520.7,296500
"Заступник керівника підрозділу, Генеральна прокуратура України",Черников Дмитро Леонідович,b34bcb44-adf6-4353-9276-4bdf938fd460,5,1000430,12633014.16,0,425.9,1458430
"слідчий в особливо важливих справах , Прокуратура міста Києва",Хасаєв Костянтин Назімович,9f728262-7019-4b98-b3e0-b45abe330de9,5,472789,11970472.51,31,259,40000
"заступник прокурора Кіровоградської області, прокуратура Кіровоградської області",Гладкіх Олег Васильович,12e7c79d-7367-4bf4-9025-13863fcb3e9b,5,1683878,11671902.74,9000,1262.9,3466133
"Начальник відділу, Прокуратура Київської області",Сутко Рустам Чолоєвич,d9cf2227-ea0d-4ddc-9514-b2c51d315e87,5,392442,11325389,0,407.6,0
"прокурор відділу організації діяльності у сфері запобігання та протидії корупції Генеральної прокуратури України, Генеральна прокуратура України",Біловар Руслан Йосипович,c72a2b94-173d-473a-a6f2-7d68b898491f,5,1488128,10659504.62,5716,606.3,1757771
"старший слідчий , прокуратура Харківської області",Попов Денис Вікторович,2f5c9a09-d7bb-42b9-9cb0-eea609a5631f,5,2156212,10016830.79,0,75,4243944
"Заступник Генерального прокурора, Генеральна прокуратура України",Єнін Євгеній Володимирович,4ab0371e-fce3-49ff-9fe7-a147b810ecfe,5,1468724,9787459.18,0,149.9,700000
"прокурор другого відділу процесуального керівництва управління з розслідування кримінальних проваджень слідчими органів прокуратури та процесуального керівництва , Прокуратура Київської області",Аверянов Антон Миколайович,3ece2e66-3c26-4d33-823e-b78f7860eb95,5,350088,9780839.13,823,797,85000
"Заступник начальника відділу, Генеральна прокуратура України",Кулікова Юлія Володимирівна,e73f3bed-9a37-4e9a-b66e-bf6d972a3742,5,667706,8979541.047,4900,682.5,2553519
"прокурор Київської місцевої прокуратури №7, Київська місцева прокуратура №7",Ільїн Микита Геннадійович,949f6d50-a861-4d39-a500-1c86a09b2f0e,5,4994702,8939495.133,111841,368.6,0
"заступник прокурора Херсонської області, прокуратура Херсонської області",Ясеницький Юрій Ігорович,aa4817e7-8a81-48ad-8011-89b9a4f9bc7d,5,2713162,8621903.95,4461,341.3,897400
"Перший заступник Генерального прокурора України, на час відрядження проректор НАПУ, Генеральна прокуратура України, відряджений до Національної академії прокуратури України",Севрук Юрій Григорович,f1748f29-0a2f-4fbf-81ac-1e001e6491df,5,1479032,8548499.831,0,104.5,0
"начальник відділу, прокуратура Одеської області",Крикливий Ростислав Миколайович,c37e75cc-92f2-47bb-a112-285cacfd11b5,5,7961122,7718486.325,0,263.3,0
"прокурор відділу , Генеральна прокуратура України",Кузенко Володимир Михайлович,62fae8bb-f800-4061-8e21-0cac9823e48c,5,745282,7449183.875,2993,230.1,592000
"Начальник відділу, Прокуратура Дніпропетровської області",Борисов Сергій Семенович,ae69eec4-c6e2-4135-ac23-851bcf145b41,5,1143645,7013445,1000,1023.3,350000
"прокурор відділу представництва органів прокуратури в суді управління представництва інтересів держави в суді Департаменту підтримання державного обвинувачення та представництва інтересів держави в судах Генеральної прокуратури України, Генеральна прокуратура України",Гудзь Олександр Миколайович,2f28dd7e-ba47-4c15-8376-7c65a34ef2a0,5,860649,6500544.968,0,91.54,0
"прокурор відділу забезпечення діяльності Генерального прокурора управління забезпечення діяльності керівництва Департаменту забезпечення діяльності керівництва Генеральної прокуратури України, Генеральна прокуратура України",Мельничук Артем Вікторович,6b96e1f4-c7c4-4574-9fa6-a735139fd474,5,565652,6373743.139,729,538,0
"головний спеціаліст відділу фінансування та бухгалтерського обліку, Прокуратура Хмельницької області",Мельничук Світлана Іванівна,dd3afa43-839d-4825-b4df-3bc5e8d4dcfb,5,565652,6373743.139,729,538,0
"прокурор області, прокуратура Запорізької області",Романов Валерій Петрович,38b5d7a7-034b-4f74-bb23-9594fbdac71e,5,862343,6174789.06,4100,293.4,150002
"прокурор відділу, Генеральна прокуратура України",Стасько Наталія Анатоліївна,13ca5b35-cc88-4a5a-acbd-3b64174f8110,5,862343,6174789.06,4100,293.4,150002
"Заступник начальника Департаменту нагляду за додержанням законів у кримінальному провадженні та координації правоохоронної дільності , Генеральна прокуратура України",Лєдовських Михайло Володимирович,dde8e5b6-611a-4aed-91ea-e1e4cab379dd,5,1085401,6118259.119,3448,443.2,247300
"прокурор, Сєвєродонецька місцева прокуратура Луганської області",Джунь Інга Владиславівна,8ff05fc1-d7be-45e5-b345-33763b248e62,5,1196370,5977842.272,0,97.6,500000
"прокурор Дніпропетровської місцевої прокуратури № 1 Дніпропетровської області, прокуратура Дніпропетровської області",Бойкова Одарка Петрівна,bf31c882-94fe-4e4e-91c5-0702144eb710,5,217504,5613444.6,0,57.2,900000
"прокуратура Приморського району м. Одеси Одеської області, прокурор прокуратури",Ярошенко Наталія Володимирівна,0bd41c31-9377-471d-926d-97d1a69993f8,5,5550127,5600000,0,265.9,2417000
"прокурор Київської місцевої прокуратури №8 м. Києва, прокуратура міста Києва (Київська місцева прокуратура №8 м. Києва)",Речицька Наталія Андріївна,64678bba-dcaa-4ae8-a404-45ad598356a5,5,384972,5438673.36,1200,285.8,11500
"прокурор місцевої прокуратури, Одеська місцева прокураутра № 3 Одеської області",Тарєєв Сергій Анатолійович,54322584-b97b-4ce7-947b-8b54a1822d7b,5,3903849,5413001.042,0,51.3,0
"прокурор відділу , прокуратура міста Києва",Карпук Юрій Анатолійович,667bbd8d-b452-4b7f-98a3-465057e941e2,5,376047,5358267.297,2496,338,0
"Перший заступник прокурора міста Києва, Прокуратура міста Києва",Кононенко Павло Миколайович,5dd1d9e9-514f-40d1-98a7-c1188859f2bd,5,694024,5333331.035,2802,381.1,0
"Начальник Головного слідчого управління (на правах Департаменту), Генеральна прокуратура України",Грищенко Юрій Олександрович,edbc2946-471a-41a6-a539-0442b345c6a7,5,2669434,5290803,0,106,1109198
"слідчий в особливо важливих справах, Прокуратура міста Києва",Грищенко Євгеній Юрійович,ad627874-bd67-4091-b88e-b1a9a030fd53,5,2669434,5290803,0,106,1109198
"прокурор Київської місцевої прокуратури № 1 міста Києва, Київська місцева прокуратура № 1 міста Києва",Мельник Валерія Валеріївна,40587dd0-203f-4277-adeb-4cd7474d8efa,5,5364695,5134280.969,0,137.7,0
"Керівник , Київська місцева прокуратура №4",Тимошенко Максим Петрович,5a3e9d15-def8-44d1-a4bc-1f2b39b51776,5,771149,5080167.363,1000,99,1110403
